B	22					
0.00 	0.00 	0.00 	0.614450262	0.293095877	0.385347905	1	0.5
0.00 	0.00 	1.50 	0.091479608	0.683440629	0.974326978	1	0.5
0.00 	0.00 	3.00 	0.298252093	0.063127826	0.290710147	1	0.5
0.00 	0.00 	4.50 	0.233321964	0.836288101	0.791124125	1	0.5
0.00 	0.00 	6.00 	0.768545936	0.456192545	0.05196028	1	0.5
0.00 	0.00 	7.50 	0.992870028	0.728145692	0.006612146	1	0.5
0.00 	0.00 	9.00 	0.146667305	0.662678273	0.066333957	1	0.5
0.00 	0.00 	10.50 	0.618729207	0.399256912	0.57091019	1	0.5
0.00 	0.00 	12.00 	0.700542333	0.097362153	0.755235734	1	0.5
0.00 	0.00 	13.50 	0.494208694	0.086728613	0.620207239	1	0.5
0.00 	0.00 	15.00 	0.937624651	0.14962105	0.870372316	1	0.5
0.00 	1.50 	0.00 	0.243459597	0.454503497	0.225506313	1	0.5
0.00 	1.50 	1.50 	0.220228194	0.114888355	0.654089112	1	0.5
0.00 	1.50 	3.00 	0.062488965	0.882474075	0.723845097	1	0.5
0.00 	1.50 	4.50 	0.722752813	0.344886689	0.120403141	1	0.5
0.00 	1.50 	6.00 	0.034846027	0.48812986	0.300886304	1	0.5
0.00 	1.50 	7.50 	0.878012169	0.27485072	0.312477649	1	0.5
0.00 	1.50 	9.00 	0.529514648	0.49940282	0.809978783	1	0.5
0.00 	1.50 	10.50 	0.628146932	0.235205438	0.220514564	1	0.5
0.00 	1.50 	12.00 	0.991342176	0.244453422	0.498462566	1	0.5
0.00 	1.50 	13.50 	0.670606443	0.286810806	0.849284342	1	0.5
0.00 	1.50 	15.00 	0.289989523	0.652067101	0.411320076	1	0.5
